"x2","n","welfare","sPr","P","dChisq","dDev","dBhat"
87,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
88,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
89,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
90,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
91,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
92,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
93,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
94,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
95,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
96,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
97,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
98,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
99,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
100,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
101,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
102,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
103,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
104,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
105,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
106,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
107,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
108,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
109,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
110,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
111,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
112,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
113,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
114,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
115,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
116,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
117,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
118,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
119,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
120,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
121,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
122,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
123,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
124,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
125,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
126,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
127,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
128,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
129,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
130,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
131,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
132,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
133,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
134,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
135,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
136,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
137,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
138,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
139,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
140,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
141,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
142,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
143,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
144,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
145,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
146,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
147,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
148,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
149,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
150,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
151,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
152,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
153,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
154,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
155,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
156,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
157,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
158,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
159,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
160,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
161,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
162,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
163,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
164,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
165,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
166,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
167,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
168,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
169,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
170,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
171,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
172,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
173,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
174,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
175,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
176,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
177,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
178,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
179,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
180,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
181,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
182,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
183,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
184,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
185,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
186,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
187,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
188,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
189,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
190,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
191,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
192,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
193,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
194,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
195,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
196,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
197,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
198,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
199,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
200,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
201,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
202,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
203,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
204,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
205,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
206,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
207,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
208,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
209,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
210,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
211,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
212,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
213,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
214,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
215,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
216,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
217,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
218,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
219,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
220,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
221,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
222,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
223,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
224,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
225,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
226,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
227,1,0,-0.19926,0.03811,0.0397,0.07787,0.00008
